dimension,bucket,model,total,transcription_correct,transcription_accuracy,solve_correct,solve_accuracy,transcribed_value_correct,transcribed_value_accuracy,average_transcribe_latency_seconds,average_solve_latency_seconds,average_total_latency_seconds
answer_magnitude,0_to_5,qwen2_vl_2b,237,92,0.3882,46,0.1941,98,0.4135,0.3415,0.1718,0.5133
answer_magnitude,0_to_5,smolvlm2_2b,237,91,0.3840,24,0.1013,94,0.3966,0.9156,0.7912,1.7067
answer_magnitude,0_to_5,smolvlm_500m,237,66,0.2785,22,0.0928,70,0.2954,0.7231,0.6207,1.3438
answer_magnitude,21_plus,qwen2_vl_2b,205,63,0.3073,13,0.0634,63,0.3073,0.3659,0.1813,0.5472
answer_magnitude,21_plus,smolvlm2_2b,205,78,0.3805,5,0.0244,78,0.3805,0.9376,0.7939,1.7316
answer_magnitude,21_plus,smolvlm_500m,205,49,0.2390,2,0.0098,49,0.2390,0.7285,0.6325,1.3610
answer_magnitude,6_to_20,qwen2_vl_2b,358,129,0.3603,69,0.1927,133,0.3715,0.3665,0.1776,0.5441
answer_magnitude,6_to_20,smolvlm2_2b,358,117,0.3268,16,0.0447,117,0.3268,0.9475,0.7960,1.7434
answer_magnitude,6_to_20,smolvlm_500m,358,58,0.1620,11,0.0307,60,0.1676,0.7612,0.6288,1.3900
answer_sign,negative,qwen2_vl_2b,123,42,0.3415,14,0.1138,42,0.3415,0.3873,0.1836,0.5709
answer_sign,negative,smolvlm2_2b,123,40,0.3252,1,0.0081,40,0.3252,0.9269,0.7923,1.7193
answer_sign,negative,smolvlm_500m,123,32,0.2602,2,0.0163,33,0.2683,0.7198,0.6157,1.3355
answer_sign,positive,qwen2_vl_2b,651,230,0.3533,109,0.1674,239,0.3671,0.3541,0.1753,0.5294
answer_sign,positive,smolvlm2_2b,651,235,0.3610,43,0.0661,237,0.3641,0.9365,0.7948,1.7313
answer_sign,positive,smolvlm_500m,651,132,0.2028,33,0.0507,136,0.2089,0.7459,0.6291,1.3750
answer_sign,zero,qwen2_vl_2b,26,12,0.4615,5,0.1923,13,0.5000,0.3462,0.1832,0.5294
answer_sign,zero,smolvlm2_2b,26,11,0.4231,1,0.0385,12,0.4615,0.9519,0.7820,1.7339
answer_sign,zero,smolvlm_500m,26,9,0.3462,0,0.0000,10,0.3846,0.7349,0.6388,1.3737
contains_number,1,qwen2_vl_2b,195,44,0.2256,21,0.1077,50,0.2564,0.3586,0.1696,0.5282
contains_number,1,smolvlm2_2b,195,31,0.1590,15,0.0769,33,0.1692,0.9529,0.7922,1.7451
contains_number,1,smolvlm_500m,195,18,0.0923,19,0.0974,23,0.1179,0.7699,0.6247,1.3946
contains_number,2,qwen2_vl_2b,201,76,0.3781,35,0.1741,79,0.3930,0.3579,0.1780,0.5359
